REGISTRADOR, NOME, ENDEREÃ‡O, TIPO
HOLDING_REGISTER, HR_STATE , 0x00, UINT16
HOLDING_REGISTER, HR_AZIMUTE , 0x01, FLOAT32
HOLDING_REGISTER, HR_ALTITUDE , 0x03, FLOAT32
HOLDING_REGISTER, HR_PV_MOTOR_GIR , 0x05, FLOAT32
HOLDING_REGISTER, HR_PV_MOTOR_ELE , 0x07, FLOAT32
HOLDING_REGISTER, HR_KP_GIR , 0x09, FLOAT32
HOLDING_REGISTER, HR_KI_GIR , 0x0B, FLOAT32
HOLDING_REGISTER, HR_KD_GIR , 0x0D, FLOAT32
HOLDING_REGISTER, HR_KP_ELE , 0x0F, FLOAT32
HOLDING_REGISTER, HR_KI_ELE , 0x11, FLOAT32
HOLDING_REGISTER, HR_KD_ELE , 0x13, FLOAT32
HOLDING_REGISTER, HR_GIR_STEP , 0x15, FLOAT32
HOLDING_REGISTER, HR_GIR_USTEP , 0x17, FLOAT32
HOLDING_REGISTER, HR_GIR_RATIO , 0x19, FLOAT32
HOLDING_REGISTER, HR_ELE_STEP , 0x1B, FLOAT32
HOLDING_REGISTER, HR_ELE_USTEP , 0x1D, FLOAT32
HOLDING_REGISTER, HR_ELE_RATIO , 0x1F, FLOAT32
HOLDING_REGISTER, HR_YEAR , 0x21, UINT16
HOLDING_REGISTER, HR_MONTH , 0x22, UINT16
HOLDING_REGISTER, HR_DAY , 0x23, UINT16
HOLDING_REGISTER, HR_HOUR , 0x24, UINT16
HOLDING_REGISTER, HR_MINUTE , 0x25, UINT16
HOLDING_REGISTER, HR_SECOND , 0x26, UINT16
HOLDING_REGISTER, HR_POS_MGIR , 0x27, FLOAT32
HOLDING_REGISTER, HR_POS_MELE , 0x29, FLOAT32
HOLDING_REGISTER, HR_LATITUDE , 0x31, FLOAT32
HOLDING_REGISTER, HR_LONGITUDE , 0x33, FLOAT32
HOLDING_REGISTER, HR_TEMPERATURE , 0x35, FLOAT32
HOLDING_REGISTER, HR_PRESSURE , 0x37, FLOAT32
HOLDING_REGISTER, HR_ALTURA , 0x39, FLOAT32
INPUT_REGISTER, INPUT_SENS_GIR , 0x00, FLOAT32
INPUT_REGISTER, INPUT_SENS_ELE , 0x02, FLOAT32
INPUT_REGISTER, INPUT_AZIMUTE , 0x04, FLOAT32
INPUT_REGISTER, INPUT_ALTITUDE , 0x06, FLOAT32
INPUT_REGISTER, INPUT_YEAR , 0x07, UINT16
INPUT_REGISTER, INPUT_MONTH , 0x08, UINT16
INPUT_REGISTER, INPUT_DAY , 0x09, UINT16
INPUT_REGISTER, INPUT_HOUR , 0x0A, UINT16
INPUT_REGISTER, INPUT_MINUTE , 0x0B, UINT16
INPUT_REGISTER, INPUT_SECOND , 0x0C, UINT16
INPUT_REGISTER, INPUT_SENS_CONF_GIR , 0x0D, FLOAT32
INPUT_REGISTER, INPUT_SENS_CONF_ELE , 0x0F, FLOAT32
COIL_REGISTER, COIL_POWER , 0X00, BOOL
COIL_REGISTER, COIL_LED1_BLUE , 0x01, BOOL
COIL_REGISTER, COIL_LED1_RED , 0x02, BOOL
COIL_REGISTER, COIL_LED2_BLUE , 0x03, BOOL
COIL_REGISTER, COIL_LED2_RED , 0x04, BOOL
COIL_REGISTER, COIL_PRINT , 0x05, BOOL 
COIL_REGISTER, COIL_DATETIME_SYNC , 0x06, BOOL
COIL_REGISTER, COIL_FORCE_DATETIME , 0x07, BOOL
DISCRETE_REGISTER, DISCRETE_POWERC_L , 0x00, BOOL
DISCRETE_REGISTER, DISCRETE_WAITING , 0x01, BOOL
DISCRETE_REGISTER, DISCRETE_TIME_STATUS , 0x02, BOOL 
DISCRETE_REGISTER, DISCRETE_LEVER1_L , 0x03, BOOL
DISCRETE_REGISTER, DISCRETE_LEVER1_R , 0x04, BOOL
DISCRETE_REGISTER, DISCRETE_LEVER2_L , 0x05, BOOL
DISCRETE_REGISTER, DISCRETE_LEVER2_R , 0x06, BOOL
STATES_CONSTANTS, PICO_FAIL_STATE , 0x00, UINT8
STATES_CONSTANTS, PICO_AUTOMATIC , 0x01, UINT8
STATES_CONSTANTS, PICO_MANUAL , 0x02, UINT8
STATES_CONSTANTS, PICO_REMOTE , 0x03, UINT8
STATES_CONSTANTS, PICO_DEMO , 0x04, UINT8
STATES_CONSTANTS, PICO_IDLE , 0x05, UINT8
STATES_CONSTANTS, PICO_RESET , 0x06, UINT8
STATES_CONSTANTS, PICO_PRE_RETURNING , 0x07, UINT8
STATES_CONSTANTS, PICO_RETURNING , 0x08, UINT8
STATES_CONSTANTS, PICO_SLEEPING , 0x09, UINT8